trade_date,book,security,quantity,price
7/11/2021,Crimson,Southwestern Energy Company,18654,14.4
7/11/2021,Crimson,"Copart, Inc.",12822,91.72
7/11/2021,Crimson,Kingtone Wirelessinfo Solution Holding Ltd,12097,60.06
7/11/2021,Crimson,"Shineco, Inc.",12102,63.3
7/11/2021,Crimson,CNX Coal Resources LP,13101,90.89
7/11/2021,Crimson,Ameris Bancorp,11481,17.69
7/11/2021,Crimson,Kinross Gold Corporation,11406,96.2
7/11/2021,Crimson,MER Telemanagement Solutions Ltd.,11822,44.24
7/11/2021,Crimson,Yirendai Ltd.,15855,58.47
7/11/2021,Crimson,"Winnebago Industries, Inc.",12667,64.46
7/11/2021,Crimson,"Arena Pharmaceuticals, Inc.",13126,77.26
7/11/2021,Crimson,"Forterra, Inc.",19090,94.29
7/11/2021,Crimson,GP Strategies Corporation,17362,82.83
7/11/2021,Crimson,Diana Shipping inc.,14091,30.13
7/11/2021,Crimson,"Juniper Networks, Inc.",19453,52.13
7/11/2021,Crimson,"Lilis Energy, Inc.",19864,25.72
7/11/2021,Crimson,Sierra Bancorp,12936,4.84
7/11/2021,Crimson,Enterprise Financial Services Corporation,15441,91.45
7/11/2021,Crimson,"USLIFE Income Fund, Inc.",11940,59.64
7/11/2021,Crimson,McKesson Corporation,16819,45.81
7/11/2021,Fuscia,Guggenheim Strategic Opportunities Fund,17943,89.31
7/11/2021,Fuscia,Southern California Edison Company,10858,62.42
7/11/2021,Fuscia,Goldcorp Inc.,13692,5.47
7/11/2021,Fuscia,Red Lion Hotels Corporation,17730,55.23
7/11/2021,Fuscia,Citigroup Inc.,15952,14.7
7/11/2021,Fuscia,"Tahoe Resources, Inc.",11728,7.34
7/11/2021,Fuscia,Agenus Inc.,16759,81.99
7/11/2021,Fuscia,Data I/O Corporation,18361,28.01
7/11/2021,Fuscia,"Equinix, Inc.",12230,28.21
7/11/2021,Fuscia,"Ocean Power Technologies, Inc.",19612,60.82
7/11/2021,Fuscia,"Duff & Phelps Utilities Tax-Free Income, Inc.",16144,86.11
7/11/2021,Fuscia,"First Community Financial Partners, Inc.",12124,33.42
7/11/2021,Fuscia,Icahn Enterprises L.P.,19804,90.13
7/11/2021,Fuscia,Principal U.S. Small Cap Index ETF,18196,38.75
7/11/2021,Fuscia,Ultrapar Participacoes S.A.,14355,95.35
7/11/2021,Fuscia,Vornado Realty Trust,16218,55.14
7/11/2021,Goldenrod,Bank of America Corporation,18864,33.09
7/11/2021,Goldenrod,Invesco California Value Municipal Income Trust,15889,96.54
7/11/2021,Goldenrod,Washington Prime Group Inc.,16166,95.79
7/11/2021,Goldenrod,"Paycom Software, Inc.",17896,15.75
7/11/2021,Goldenrod,Kimco Realty Corporation,18457,24.52
7/11/2021,Goldenrod,"AquaBounty Technologies, Inc.",15986,30.04
7/11/2021,Goldenrod,Valley National Bancorp,16482,90.86
7/11/2021,Goldenrod,Lear Corporation,13698,20.32
7/11/2021,Goldenrod,"USLIFE Income Fund, Inc.",16113,31.25
7/11/2021,Goldenrod,"Imperva, Inc.",10039,4.39
7/11/2021,Goldenrod,"Synchronoss Technologies, Inc.",12972,95.23
7/11/2021,Goldenrod,"Pinnacle Foods, Inc.",18283,73.98
7/11/2021,Goldenrod,GasLog LP.,19625,44.28
7/11/2021,Goldenrod,Loncar Cancer Immunotherapy ETF,17830,71.36
7/11/2021,Goldenrod,"HSN, Inc.",18515,14.24
7/11/2021,Green,"Rand Logistics, Inc.",11019,88.03
7/11/2021,Green,Columbus McKinnon Corporation,13876,42.4
7/11/2021,Green,Origo Acquisition Corporation,16197,54.58
7/11/2021,Green,"ShoreTel, Inc.",12371,77
7/11/2021,Green,"GRAVITY Co., Ltd.",19253,13.55
7/11/2021,Green,"Safe Bulkers, Inc",17746,14.7
7/11/2021,Green,Great Elm Capital Corp.,19538,11.83
7/11/2021,Green,Nuven Mortgage Opportunity Term Fund 2,11037,88.09
7/11/2021,Green,Oracle Corporation,17301,10.34
7/11/2021,Green,Cheetah Mobile Inc.,13125,70.36
7/11/2021,Green,"Pacific Biosciences of California, Inc.",11731,64.31
7/11/2021,Green,"Goldman Sachs Group, Inc. (The)",18114,26.58
7/11/2021,Indigo,"FRP Holdings, Inc.",19021,10.73
7/11/2021,Indigo,"Nexstar Media Group, Inc.",18317,42.75
7/11/2021,Indigo,OFG Bancorp,15894,63.63
7/11/2021,Indigo,TravelCenters of America LLC,13346,45.63
7/11/2021,Indigo,Amdocs Limited,14694,58.87
7/11/2021,Indigo,Embraer-Empresa Brasileira de Aeronautica,11712,10.41
7/11/2021,Indigo,Wendy's Company (The),18863,25.41
7/11/2021,Indigo,Teradata Corporation,17524,38.33
7/11/2021,Indigo,"TerraForm Global, Inc.",17270,61.88
7/11/2021,Indigo,Nortel Inversora SA,12993,68.73
7/11/2021,Indigo,STMicroelectronics N.V.,10330,39.1
7/11/2021,Indigo,Quorum Health Corporation,10568,59.55
7/11/2021,Indigo,Gabelli NextShares Trust,15144,84.81
7/11/2021,Indigo,First Trust NASDAQ-100- Technology Index Fund,18135,37.62
7/11/2021,Indigo,"Nelnet, Inc.",15127,13.91
7/11/2021,Indigo,Verizon Communications Inc.,11067,7.12
7/11/2021,Indigo,Fifth Street Senior Floating Rate Corp.,13526,7.53
7/11/2021,Indigo,"Blackrock MuniHoldings Quality Fund II, Inc.",15120,33.47
7/11/2021,Indigo,"Virtus Investment Partners, Inc.",16578,62.73
7/11/2021,Indigo,"Safeguard Scientifics, Inc.",17010,81.1
7/11/2021,Khaki,"Great Southern Bancorp, Inc.",18220,53.05
7/11/2021,Khaki,BLDRS Emerging Markets 50 ADR Index Fund,11315,75.71
7/11/2021,Khaki,"Blackrock MuniYield New York Quality Fund, Inc.",12483,93.1
7/11/2021,Khaki,LiNiu Technology Group,11971,10.41
7/11/2021,Khaki,PJT Partners Inc.,16079,1.64
7/11/2021,Khaki,Hudbay Minerals Inc.,10526,2.42
7/11/2021,Khaki,SPDR Dorsey Wright Fixed Income Allocation ETF,13414,95.62
7/11/2021,Khaki,Kimberly-Clark Corporation,13001,77.96
7/11/2021,Khaki,"Live Oak Bancshares, Inc.",13446,88.66
7/11/2021,Khaki,PowerShares DWA Developed Markets Momentum Portfolio,18557,68.34
7/11/2021,Khaki,Nuveen High Income December 2019 Target Term Fund,14331,66.22
7/11/2021,Khaki,"FormFactor, Inc.",19482,71.09
7/11/2021,Khaki,Alliance Data Systems Corporation,14480,28.06
7/11/2021,Khaki,"Pain Therapeutics, Inc.",15649,56.45
7/11/2021,Khaki,"Harvard Bioscience, Inc.",16743,39.91
7/11/2021,Khaki,"Boston Private Financial Holdings, Inc.",13362,46.99
7/11/2021,Maroon,Lattice Semiconductor Corporation,15509,86.69
7/11/2021,Maroon,Boulevard Acquisition Corp. II,10655,73.62
7/11/2021,Maroon,"SandRidge Energy, Inc.",19857,10.72
7/11/2021,Maroon,First Trust Multi Cap Value AlphaDEX Fund,19156,81.38
7/11/2021,Maroon,Matrix Service Company,19135,8.11
7/11/2021,Maroon,Peabody Energy Corporation,17774,61.12
7/11/2021,Maroon,"Natural Gas Services Group, Inc.",10693,56.79
7/11/2021,Maroon,"Synergy Pharmaceuticals, Inc.",10714,19.16
7/11/2021,Maroon,"Cross Country Healthcare, Inc.",15125,46.86
7/11/2021,Maroon,"Star Gas Partners, L.P.",11983,25.14
7/11/2021,Maroon,"Limbach Holdings, Inc.",10305,38.91
7/11/2021,Maroon,Putnam High Income Bond Fund,17899,18.49
7/11/2021,Maroon,United States Cellular Corporation,13610,10.34
7/11/2021,Maroon,BlackRock Energy and Resources Trust,19361,68.28
7/11/2021,Maroon,Westport Fuel Systems Inc,19288,52.28
7/11/2021,Maroon,PowerShares KBW Premium Yield Equity REIT Portfolio,12595,26.24
7/11/2021,Maroon,"Church & Dwight Company, Inc.",10457,57.23
7/11/2021,Maroon,"T2 Biosystems, Inc.",16296,39.49
7/11/2021,Maroon,Boston Scientific Corporation,19068,49.13
7/11/2021,Maroon,"Celldex Therapeutics, Inc.",13542,50.94
7/11/2021,Maroon,Vanguard International Dividend Appreciation ETF,19996,96.58
7/11/2021,Maroon,Northern Technologies International Corporation,16347,21.73
7/11/2021,Maroon,Nustar Energy L.P.,17711,11.38
7/11/2021,Maroon,Two River Bancorp,11680,68.18
7/11/2021,Maroon,Teekay LNG Partners L.P.,10722,43.26
7/11/2021,Maroon,"Loral Space and Communications, Inc.",19680,86.04
7/11/2021,Maroon,Cambrex Corporation,10857,48.52
7/11/2021,Maroon,Global X Robotics & Artificial Intelligence ETF,11268,17.06
7/11/2021,Mauv,Annaly Capital Management Inc,18606,9.62
7/11/2021,Mauv,"ONEOK Partners, L.P.",19902,50.99
7/11/2021,Mauv,RGC Resources Inc.,14362,82.91
7/11/2021,Mauv,"Revlon, Inc.",10246,30.67
7/11/2021,Mauv,PowerShares S&P SmallCap Materials Portfolio,18752,23.13
7/11/2021,Mauv,Immuron Limited,18950,16.19
7/11/2021,Mauv,Frontier Communications Corporation,17883,74.38
7/11/2021,Mauv,CBS Corporation,10837,6.23
7/11/2021,Mauv,Nuveen New York Municipal Value Fund 2,18408,6.86
7/11/2021,Mauv,First Data Corporation,17658,91.8
7/11/2021,Mauv,"Strayer Education, Inc.",15123,99.04
7/11/2021,Mauv,National Instruments Corporation,14859,18.3
7/11/2021,Mauv,INTL FCStone Inc.,10816,47.62
7/11/2021,Mauv,"Blackrock MuniVest Fund II, Inc.",17570,11.41
7/11/2021,Mauv,Smith (A.O.) Corporation,11739,93.89
7/11/2021,Mauv,Clifton Bancorp Inc.,15562,30.23
7/11/2021,Mauv,"Carbo Ceramics, Inc.",10847,78.49
7/11/2021,Mauv,Alleghany Corporation,15469,96.12
7/11/2021,Mauv,John Hancock Premium Dividend Fund,16223,32.01
7/11/2021,Mauv,Invesco Mortgage Capital Inc.,17606,58.05
7/11/2021,Orange,"Great Elm Capital Group, Inc. ",11773,12.27
7/11/2021,Orange,Invesco Municipal Opportunity Trust,19658,98.71
7/11/2021,Orange,Bank of America Corporation,13710,15.39
7/11/2021,Orange,Genuine Parts Company,12348,47.81
7/11/2021,Orange,Bright Horizons Family Solutions Inc.,15532,47.84
7/11/2021,Orange,Pampa Energia S.A.,19264,76.73
7/11/2021,Orange,"Red Hat, Inc.",10420,38.88
7/11/2021,Orange,Hovnanian Enterprises Inc,16929,80.6
7/11/2021,Orange,"Stanley Black & Decker, Inc.",13897,60.95
7/11/2021,Orange,"Duff & Phelps Utilities Income, Inc.",13961,43.92
7/11/2021,Orange,"Dycom Industries, Inc.",13607,23.4
7/11/2021,Orange,Endeavour Silver Corporation,17271,86.84
7/11/2021,Orange,"Summit Midstream Partners, LP",11743,37.07
7/11/2021,Orange,FB Financial Corporation,19874,76.71
7/11/2021,Orange,"Ecology and Environment, Inc.",10485,37.8
7/11/2021,Orange,"CVR Partners, LP",15344,84.97
7/11/2021,Orange,Nordson Corporation,18129,25.03
7/11/2021,Pink,"Electro-Sensors, Inc.",11035,10.37
7/11/2021,Pink,VelocityShares Daily Inverse VIX Medium-Term ETN,17272,71.13
7/11/2021,Pink,"NII Holdings, Inc.",18507,30.43
7/11/2021,Pink,Callon Petroleum Company,14822,70.68
7/11/2021,Pink,Ophthotech Corporation,14469,90.63
7/11/2021,Pink,Generac Holdlings Inc.,10770,75.77
7/11/2021,Pink,Blackrock MuniYield Pennsylvania Quality Fund,17441,82.13
7/11/2021,Pink,Western Asset Municipal Defined Opportunity Trust Inc,12335,47.07
7/11/2021,Pink,"Hartford Financial Services Group, Inc. (The)",16543,41.36
7/11/2021,Pink,"Revlon, Inc.",12764,54.59
7/11/2021,Pink,"NantKwest, Inc.",17358,17.69
7/11/2021,Pink,"Payment Data Systems, Inc.",15792,53.73
7/11/2021,Pink,The Cushing MLP Total Return Fund,15748,55.47
7/11/2021,Pink,"Natural Gas Services Group, Inc.",14634,90.76
7/11/2021,Pink,Cars.com Inc.,18107,45.06
7/11/2021,Puce,Alliance Data Systems Corporation,19060,92.96
7/11/2021,Puce,Seaspan Corporation,16687,59.49
7/11/2021,Puce,Chemical Financial Corporation,13160,59.98
7/11/2021,Puce,Sears Canada Inc. ,15750,33.37
7/11/2021,Puce,"America's Car-Mart, Inc.",16717,19.7
7/11/2021,Puce,Seritage Growth Properties,16387,81.97
7/11/2021,Puce,"Sanderson Farms, Inc.",15063,91.9
7/11/2021,Puce,"New Ireland Fund, Inc. (The)",18060,58.66
7/11/2021,Puce,"National Bankshares, Inc.",10653,81.02
7/11/2021,Puce,Sabine Royalty Trust,15414,5.42
7/11/2021,Puce,"LGI Homes, Inc.",18835,91.91
7/11/2021,Puce,Cushing Energy Income Fund (The),12218,84.11
7/11/2021,Puce,Rio Tinto Plc,13840,29.27
7/11/2021,Puce,"RF Industries, Ltd.",13155,78.86
7/11/2021,Puce,"Terra Nitrogen Company, L.P.",12446,9.43
7/11/2021,Puce,OncoGenex Pharmaceuticals Inc.,12819,22.18
7/11/2021,Puce,"Bob Evans Farms, Inc.",11734,66.16
7/11/2021,Puce,"Simulations Plus, Inc.",14663,5.01
7/11/2021,Purple,Huntington Bancshares Incorporated,13450,20.02
7/11/2021,Purple,Lear Corporation,15738,99.82
7/11/2021,Purple,"RSP Permian, Inc.",16809,55.8
7/11/2021,Purple,Johnson & Johnson,13596,78.5
7/11/2021,Purple,Morgan Stanley,16615,72.04
7/11/2021,Purple,BLDRS Emerging Markets 50 ADR Index Fund,15000,33.36
7/11/2021,Purple,"B. Riley Financial, Inc.",16486,36.92
7/11/2021,Purple,Morgan Stanley,15543,87.44
7/11/2021,Purple,American States Water Company,18128,83.73
7/11/2021,Purple,Atlantic Alliance Partnership Corp.,16064,50.82
7/11/2021,Purple,Select Comfort Corporation,19629,63.28
7/11/2021,Purple,Dataram Corporation,10517,82.03
7/11/2021,Purple,Moelis & Company,16703,77.75
7/11/2021,Purple,MicroStrategy Incorporated,15378,51.22
7/11/2021,Purple,Scorpio Tankers Inc.,18765,23.68
7/11/2021,Purple,YPF Sociedad Anonima,15606,57
7/11/2021,Purple,Lindsay Corporation,14100,32.3
7/11/2021,Purple,China Telecom Corp Ltd,14565,93.33
7/11/2021,Purple,"Acorda Therapeutics, Inc.",11116,43.7
7/11/2021,Purple,"Townsquare Media, Inc.",17414,66.85
7/11/2021,Purple,M&T Bank Corporation,19369,99.41
7/11/2021,Purple,The First of Long Island Corporation,14443,89.84
7/11/2021,Purple,Abeona Therapeutics Inc.,14430,1.68
7/11/2021,Purple,Chemours Company (The),19674,83.53
7/11/2021,Purple,Knowles Corporation,17053,44.61
7/11/2021,Purple,"Star Gas Partners, L.P.",14454,61.69
7/11/2021,Red,"Perficient, Inc.",15684,37.56
7/11/2021,Red,RAIT Financial Trust,13477,35.57
7/11/2021,Red,"Black Diamond, Inc.",14952,25.8
7/11/2021,Red,Virtus Global Multi-Sector Income Fund,14431,93.61
7/11/2021,Red,John Hancock Tax Advantaged Dividend Income Fund,16870,29.03
7/11/2021,Red,VelocityShares 3x Inverse Silver ETN,17846,58.96
7/11/2021,Red,Grana y Montero S.A.A.,15598,30.23
7/11/2021,Red,Kyocera Corporation,16870,37.6
7/11/2021,Red,iRadimed Corporation,15402,58.9
7/11/2021,Red,Cloud Peak Energy Inc,17202,72.73
7/11/2021,Red,Natl Westminster Pfd,10957,10.07
7/11/2021,Red,Campbell Soup Company,15512,26.57
7/11/2021,Red,"Barracuda Networks, Inc.",19138,83.85
7/11/2021,Red,"Williams Companies, Inc. (The)",11899,22.69
7/11/2021,Red,Legg Mason BW Global Income Opportunities Fund Inc.,18451,63.91
7/11/2021,Red,General Electric Capital Corporation,16668,52.11
7/11/2021,Red,Hovnanian Enterprises Inc,10460,46.25
7/11/2021,Red,Granite Construction Incorporated,13940,19.34
7/11/2021,Red,Virtusa Corporation,12423,44.2
7/11/2021,Red,"HomeStreet, Inc.",13583,77.46
7/11/2021,Red,Community Healthcare Trust Incorporated,13655,27.5
7/11/2021,Red,"A. Schulman, Inc.",10488,10.21
7/11/2021,Red,Nymox Pharmaceutical Corporation,13549,6.31
7/11/2021,Red,"Theravance Biopharma, Inc.",19779,12.27
7/11/2021,Teal,"Century Communities, Inc.",19519,27.35
7/11/2021,Teal,"America Movil, S.A.B. de C.V.",11315,39.9
7/11/2021,Teal,Broadcom Limited,12248,66.5
7/11/2021,Teal,Yelp Inc.,14565,52.97
7/11/2021,Teal,"RTI Surgical, Inc.",19072,32.69
7/11/2021,Teal,CarMax Inc,16271,22.98
7/11/2021,Teal,"Copa Holdings, S.A.",10094,94.25
7/11/2021,Teal,"WideOpenWest, Inc.",13891,7.74
7/11/2021,Teal,"ConnectOne Bancorp, Inc.",18370,85.87
7/11/2021,Teal,"Comstock Resources, Inc.",15158,8.72
7/11/2021,Teal,"Sangamo Therapeutics, Inc.",10131,31.25
7/11/2021,Teal,Legg Mason Developed EX-US Diversified Core ETF,11350,28.02
7/11/2021,Teal,"Haverty Furniture Companies, Inc.",17073,7.71
7/11/2021,Turquoise,"Profire Energy, Inc.",19695,68.27
7/11/2021,Turquoise,Liberty Global plc,19308,12.1
7/11/2021,Turquoise,PowerShares DWA Consumer Cyclicals Momentum Portfolio,14410,11.91
7/11/2021,Turquoise,"Valeritas Holdings, Inc.",14440,81.53
7/11/2021,Turquoise,Cardtronics plc,19299,62.89
7/11/2021,Turquoise,Hospitality Properties Trust,17378,1.18
7/11/2021,Turquoise,AllianceBernstein Holding L.P.,13847,73.25
7/11/2021,Turquoise,Wayne Savings Bancshares Inc.,15144,30.42
7/11/2021,Turquoise,TravelCenters of America LLC,13399,84.6
7/11/2021,Turquoise,Public Storage,15245,17.95
7/11/2021,Turquoise,"Blackrock MuniYield New York Quality Fund, Inc.",15168,10.58
7/11/2021,Turquoise,iShares S&P Global Clean Energy Index Fund,13096,13.19
7/11/2021,Turquoise,Amphenol Corporation,16189,78.2
7/11/2021,Turquoise,"Famous Dave's of America, Inc.",10946,68.09
7/11/2021,Turquoise,Hershey Company (The),17952,87.44
7/11/2021,Turquoise,"GlycoMimetics, Inc.",10053,4.89
7/11/2021,Violet,China Cord Blood Corporation,11564,47.12
7/11/2021,Violet,Ramco-Gershenson Properties Trust,10188,45.63
7/11/2021,Violet,Axis Capital Holdings Limited,12182,28.1
7/11/2021,Violet,"Banco Santander, S.A.",16195,57.43
7/11/2021,Violet,U.S. Bancorp,11252,29.59
7/11/2021,Violet,Taro Pharmaceutical Industries Ltd.,12031,98.6
7/11/2021,Violet,Navient Corporation,16266,59.02
7/11/2021,Violet,"Inter Parfums, Inc.",18134,28.78
7/11/2021,Violet,The Blackstone Group L.P.,18634,58.09
7/11/2021,Violet,Deltic Timber Corporation,16114,27.19
7/11/2021,Violet,AC Immune SA,12694,95.86
7/11/2021,Violet,"Global Blood Therapeutics, Inc.",14850,3.29
7/11/2021,Violet,"Pluristem Therapeutics, Inc.",11077,93.63
7/11/2021,Violet,Public Storage,19774,17.86
7/11/2021,Yellow,"TRACON Pharmaceuticals, Inc.",10666,15.11
7/11/2021,Yellow,Starbucks Corporation,19556,86.47
7/11/2021,Yellow,Aegon NV,13077,87.03
7/11/2021,Yellow,"Stag Industrial, Inc.",12700,32.26
7/11/2021,Yellow,First Trust Emerging Markets Local Currency Bond ETF,14640,79.13
7/11/2021,Yellow,First Potomac Realty Trust,10688,4.65
7/11/2021,Yellow,"Southern First Bancshares, Inc.",17256,55.97
7/11/2021,Yellow,National Research Corporation,13912,63.27
7/11/2021,Yellow,"Mota Group, Inc.",15039,51.01
7/11/2021,Yellow,Semtech Corporation,15450,31.45
7/11/2021,Yellow,"A V Homes, Inc.",11169,92.89
7/11/2021,Yellow,"China Ceramics Co., Ltd.",11258,24.85
7/11/2021,Yellow,POSCO,17492,18.76
7/11/2021,Yellow,Arbor Realty Trust,12508,48.61
7/11/2021,Yellow,Osisko Gold Royalties Ltd,11053,55.44
7/11/2021,Yellow,Sun Hydraulics Corporation,19588,44.57
7/11/2021,Yellow,Select Comfort Corporation,17825,56.56
7/11/2021,Yellow,"Popular, Inc.",10556,58.68
7/11/2021,Yellow,Exterran Corporation,16755,48.93
7/11/2021,Yellow,"Entegris, Inc.",14461,58.57
7/11/2021,Yellow,Virtus Global Dividend & Income Fund Inc.,16196,18.09
7/11/2021,Yellow,HNI Corporation,19419,63.83
7/11/2021,Yellow,Aehr Test Systems,19542,74.73
7/11/2021,Yellow,"Armstrong Flooring, Inc.",16203,51.35
7/12/2021,Aquamarine,"Parke Bancorp, Inc.",17700,18.49
7/12/2021,Aquamarine,TEGNA Inc.,11854,43.92
7/12/2021,Aquamarine,Dynavax Technologies Corporation,12662,5.24
7/12/2021,Aquamarine,First Trust Brazil AlphaDEX Fund,13668,55.34
7/12/2021,Aquamarine,Costamare Inc.,14767,30.53
7/12/2021,Aquamarine,Morgan Stanley,17871,3.71
7/12/2021,Aquamarine,"Copa Holdings, S.A.",15521,31.09
7/12/2021,Aquamarine,"Voya Financial, Inc.",14152,58.9
7/12/2021,Aquamarine,Toll Brothers Inc.,18710,19.86
7/12/2021,Aquamarine,Nuveen Core Equity Alpha Fund,10758,3.28
7/12/2021,Aquamarine,Movado Group Inc.,14203,39.37
7/12/2021,Aquamarine,Cathay General Bancorp,15506,19.19
7/12/2021,Aquamarine,"Broadridge Financial Solutions, Inc.",15556,62.4
7/12/2021,Aquamarine,"Urban One, Inc. ",18212,21.89
7/12/2021,Aquamarine,Adobe Systems Incorporated,18046,93.07
7/12/2021,Aquamarine,Tenet Healthcare Corporation,17939,57.6
7/12/2021,Aquamarine,"O'Reilly Automotive, Inc.",10559,22.33
7/12/2021,Aquamarine,"Advaxis, Inc.",17152,22.36
7/12/2021,Aquamarine,"Athenex, Inc.",17716,1.67
7/12/2021,Aquamarine,"AmTrust Financial Services, Inc.",18090,92.96
7/12/2021,Aquamarine,"Aptose Biosciences, Inc.",14851,63.82
7/12/2021,Aquamarine,"Adams Diversified Equity Fund, Inc.",16282,14.51
7/12/2021,Aquamarine,First Trust Indxx Global Agriculture ETF,13792,94.52
7/12/2021,Blue,"SI Financial Group, Inc.",19892,35.95
7/12/2021,Blue,WD-40 Company,13908,31.91
7/12/2021,Blue,"Baldwin & Lyons, Inc.",11905,34.98
7/12/2021,Blue,"Arena Pharmaceuticals, Inc.",11260,33.19
7/12/2021,Blue,DragonWave Inc,16481,19.9
7/12/2021,Blue,China XD Plastics Company Limited,15691,33.07
7/12/2021,Blue,First Bank,13871,93.7
7/12/2021,Blue,"Rockwell Collins, Inc.",17075,56.57
7/12/2021,Blue,"Armstrong Flooring, Inc.",14012,48.03
7/12/2021,Blue,FinTech Acquisition Corp. II,17314,41.16
7/12/2021,Blue,"Poage Bankshares, Inc.",15644,31.01
7/12/2021,Blue,Banco Bradesco Sa,11145,36.67
7/12/2021,Blue,"Archrock, Inc.",15955,5.47
7/12/2021,Blue,HomeTown Bankshares Corporation,14344,25.1
7/12/2021,Blue,"Liberty Expedia Holdings, Inc.",10121,28.34
7/12/2021,Blue,Brandywine Realty Trust,16117,87.81
7/12/2021,Blue,Sohu.com Inc.,16982,65.54
7/12/2021,Blue,Pebblebrook Hotel Trust,18764,43.3
7/12/2021,Blue,TOR Minerals International Inc,16864,58.42
7/12/2021,Blue,Independent Bank Corp.,14564,74.02
7/12/2021,Blue,"National Bankshares, Inc.",14963,78.07
7/12/2021,Crimson,PowerShares DWA Healthcare Momentum Portfolio,12063,5.67
7/12/2021,Crimson,"Steven Madden, Ltd.",18489,17.03
7/12/2021,Crimson,Deutsche Bank AG,17479,2.19
7/12/2021,Crimson,RAIT Financial Trust,19789,79.58
7/12/2021,Crimson,"Washington Trust Bancorp, Inc.",18917,20.87
7/12/2021,Crimson,"Key Technology, Inc.",10512,67.41
7/12/2021,Crimson,"SkyWest, Inc.",10568,89.7
7/12/2021,Crimson,Vanguard Long-Term Corporate Bond ETF,12094,41.52
7/12/2021,Crimson,Templeton Emerging Markets Fund,16300,99.34
7/12/2021,Crimson,Garrison Capital Inc.,17097,85.84
7/12/2021,Crimson,Golar LNG Partners LP,10182,94.13
7/12/2021,Crimson,BT Group plc,13892,58.99
7/12/2021,Crimson,Vulcan Materials Company,11224,43.54
7/12/2021,Crimson,PowerShares S&P SmallCap Information Technology Portfolio,11802,58.88
7/12/2021,Crimson,"Telephone and Data Systems, Inc.",16795,83.69
7/12/2021,Crimson,"Entergy New Orleans, Inc.",10725,44.02
7/12/2021,Crimson,Nuveen Select Tax Free Income Portfolio II,17241,96.02
7/12/2021,Crimson,"CYS Investments, Inc.",13544,63.75
7/12/2021,Crimson,Alcentra Capital Corp.,10248,58.22
7/12/2021,Crimson,Rosetta Stone,14897,2.18
7/12/2021,Fuscia,Boulevard Acquisition Corp. II,13844,51.5
7/12/2021,Fuscia,First Trust Taiwan AlphaDEX Fund,17861,80.38
7/12/2021,Fuscia,Vanguard Russell 2000 Growth ETF,17513,43.71
7/12/2021,Fuscia,"Achaogen, Inc.",18482,52.7
7/12/2021,Fuscia,"Dicerna Pharmaceuticals, Inc.",16643,32.49
7/12/2021,Fuscia,J P Morgan Chase & Co,13382,16.79
7/12/2021,Fuscia,Banco Santander Brasil SA,14236,99.28
7/12/2021,Fuscia,Xerox Corporation,19697,43.43
7/12/2021,Fuscia,The Spectranetics Corporation,19184,4.85
